# 192 16
521,CSC8088,20:30,4,7
522,CSC8802,14:00,4,7
523,CEB827,21:45,4,7
524,AFR291,10:30,5,8
525,KLM868,10:25,6,8
526,FIN78,10:45,5,7 10
527,EVA177,11:10,5,2
528,EVA181,12:10,4,2
529,EVA131,13:10,5,2
530,EVA129,18:30,4,2
531,EVA179,22:10,4,2
532,CCA162,09:00,5,9
533,CCA164,09:05,5,9
534,CCA726,12:15,4,9
535,CCA922,13:30,5,9
536,CCA928,13:50,5,9
537,CCA152,15:20,4,9
538,CCA858,16:25,5,9
539,CCA736,16:55,4,9
540,CCA462,18:00,4,9
541,CCA736,21:00,4,9
542,CSZ9054,12:55,4,8
543,CSZ9060,15:10,4,8
544,CSZ9056,19:20,4,8
545,CSZ9058,19:10,4,8
546,CSZ8064,22:55,4,8
547,CAL159,09:30,5,15
548,CAL167,12:00,4,15
549,CAL157,13:10,6,15
550,CAL153,14:00,6,15
551,CAL173,19:05,6,15
552,CAL177,20:35,4,15
553,CPA597,09:15,5,5 6
554,CPA503,10:00,7,5 6
555,CPA565,16:00,5,5 6
556,CPA595,17:20,5,5 6
557,CPA507,18:00,7,5 6
558,CPA569,18:30,5,5 6
559,DAL182,16:00,4,6
560,DAL278,21:00,4,6
561,UAE317,23:35,8,12
562,GIA883,11:00,4,11
563,GIA889,12:00,4,11
564,HAL450,20:45,5,1
565,DKH1336,12:50,4,13
566,DKH1612,16:55,4,13
567,DKH1340,17:00,4,13
568,DKH1302,20:30,4,13
569,DKH1338,20:55,4,13
570,DKH1622,21:00,4,13
571,CRK617,07:00,5,0
572,CRK619,17:40,5,0
573,CRK613,23:00,5,0
574,TTW211,11:15,4,11 15
575,TTW221,23:05,4,11 15
576,TTW2213,18:30,4,11 15
577,JAL891,10:10,4,11
578,JAL897,14:45,4,11
579,JAL60,17:45,4,11
580,JAL815,19:35,4,11
581,JAL792,22:20,4,11
582,JAL727,00:45,4,11
583,VNL179,22:20,4,4
584,KAL722,09:30,6,3
585,KAL732,11:05,4,3
586,KAL738,11:55,6,3
587,KAL724,12:25,6,3
588,KAL726,18:40,6,3
589,KAL760,19:30,4,3
590,KAL740,19:35,6,3
591,DLH743,08:55,5,2
592,CXA8628,13:35,4,13
593,CXA836,18:30,4,13
594,ANA973,09:00,4,1
595,ANA979,09:50,4,1
596,ANA945,10:10,4,1
597,ANA873,10:40,4,1
598,ANA977,10:45,4,1
599,ANA951,13:55,4,1
600,ANA975,15:55,4,1
601,AMU855,13:45,4,8
602,AAR115,09:10,4,4
603,AAR111,10:50,5,4
604,AAR1135,11:10,4,4
605,AAR113,17:00,5,4
606,AAR117,20:15,4,4
607,AAR1155,20:40,4,4
608,PAL407,09:55,5,10
609,PAL897,16:15,4,10
610,PAL409,15:25,4,10
611,QFA34,23:25,5,10
612,ASV712,09:55,4,3
613,ASV714,16:15,4,3
614,CDG8844,16:50,4,2
615,CDG8826,17:20,4,2
616,CDG8088,21:45,4,2
617,CDG8092,12:50,4,2
618,SIA619,10:55,6,14
619,SIA623,23:25,6,14
620,THA623,11:45,9,6 7
621,THA673,17:35,6,6 7
622,UAL150,11:05,4,7
623,UAL34,17:10,4,7
624,VJC939,09:20,4,0 5
625,VJC829,09:30,4,0 5
626,HVN337,09:30,4,13
627,HVN321,10:30,5,13
628,HVN331,10:30,5,13
629,ESR612,11:10,4,9 11
630,ESR614,18:10,4,9 11
631,ESR914,15:00,4,9 11
632,ESR7202,12:30,4,9 11
633,XAX371,22:00,6,5
634,XAX1,23:25,6,5
635,XAX9,11:00,6,5
636,TAX611,23:55,6,0 1
637,TAX613,09:50,6,0 1
638,JST16,21:00,6,
639,JSA724,12:15,4,0
640,JSA722,17:20,4,0
641,PIC171,20:30,4,5
642,JNA216,09:55,4,10
643,JNA212,10:50,7,10
644,JNA282,16:45,7,10
645,JNA214,18:45,4,10
646,JNA284,19:40,4,10
647,JNA218,17:40,4,10
648,TGW701,16:00,6,14
649,TGW867,18:05,6,14
650,CSN394,09:00,4,14 13
651,CSN390,14:10,5,14 13
652,CSN8390,11:55,4,14 13
653,CSN642,13:10,4,14 13
654,CSN612,13:10,4,14 13
655,CSN8418,14:10,4,14 13
656,CSN8426,15:30,4,14 13
657,CSN8396,20:40,4,14 13
658,CSN8308,13:00,4,14 13
659,MAS53,09:55,5,6
660,CES730,09:30,4,12 13
661,CES2060,10:00,4,12 13
662,CES2794,12:00,4,12 13
663,CES226,13:10,4,12 13
664,CES516,14:10,4,12 13
665,CES526,15:30,4,12 13
666,CES278,16:30,4,12 13
667,CES748,16:55,4,12 13
668,CES2860,19:00,4,12 13
669,CSH822,19:30,4,12
670,GCR7978,13:20,5,5
671,GCR7980,18:00,4,5
672,ABL123,11:00,4,4
673,ABL129,12:50,4,4
674,ABL125,13:30,4,4
675,ABL127,17:35,4,4
676,ABL121,18:50,4,4
677,OKA3026,18:00,4,6
678,HKE687,15:10,4,1
679,HKE689,19:55,4,1
680,HKE851,12:45,4,1
681,HKE899,17:30,4,1
682,TWB311,10:40,4,2 8 11 12
683,TWB282,10:45,4,2 8 11 12
684,TWB284,15:10,4,2 8 11 12
685,TWB286,18:20,4,2 8 11 12
686,TWB288,17:20,4,2 8 11 12
687,TWB246,12:55,4,2 8 11 12
688,TWB222,19:40,4,2 8 11 12
689,TWB312,20:10,4,2 8 11 12
